COSEWICID,SCI_NAME,COM_NAME_E,TAXON_E,SAR_STAT_E,SCHEDULE_E,RANGE_HA,NCC_FS_HA,PCT_NCC
2,Carex lupuliformis,False Hop Sedge,Vascular Plants,Endangered,Schedule 1,165714.48,8.4,0.01
4,Astragalus robbinsii var. fernaldii,Fernald's Milk–vetch,Vascular Plants,Special Concern,Schedule 1,15697.47,0.0,0.0
5,Braya fernaldii,Fernald's Braya,Vascular Plants,Endangered,Schedule 1,68241.4,0.0,0.0
6,Braya longii,Long's Braya,Vascular Plants,Endangered,Schedule 1,17871.3,0.0,0.0
12,Lotus formosissimus,Seaside Birds–foot Lotus,Vascular Plants,Endangered,Schedule 1,4176.5,0.0,0.0
19,Empidonax virescens,Acadian Flycatcher,Birds,Endangered,Schedule 1,2497140.51,3463.040000000001,0.14
20,Athene cunicularia,Burrowing Owl,Birds,Endangered,Schedule 1,19383779.91,20286.099999999995,0.1
21,Numenius borealis,Eskimo Curlew,Birds,Endangered,Schedule 1,21982073.36,0.0,0.0
22,Histrionicus histrionicus,Harlequin Duck (Eastern population),Birds,Special Concern,Schedule 1,45464376.22,1108.5,0.0
23,Ammodramus henslowii,Henslow's Sparrow,Birds,Endangered,Schedule 1,1869356.03,6936.390000000001,0.37
24,Rallus elegans,King Rail,Birds,Endangered,Schedule 1,741919.02,2982.3200000000006,0.4
25,Setophaga kirtlandii,Kirtland's Warbler,Birds,Endangered,Schedule 1,370566.18,1983.91,0.54
26,Lanius ludovicianus migrans,Loggerhead Shrike migrans subspecies,Birds,Endangered,Schedule 1,2419979.68,6749.009999999998,0.28
27,Charadrius montanus,Mountain Plover,Birds,Endangered,Schedule 1,221594.3,0.0,0.0
28,Colinus virginianus,Northern Bobwhite,Birds,Endangered,Schedule 1,2102278.86,3624.249999999999,0.17
31,Protonotaria citrea,Prothonotary Warbler,Birds,Endangered,Schedule 1,305938.0,2561.250000000001,0.84
32,Oreoscoptes montanus,Sage Thrasher,Birds,Endangered,Schedule 1,1549159.25,3034.1300000000006,0.2
33,Strix occidentalis caurina,Spotted Owl caurina subspecies,Birds,Endangered,Schedule 1,1622288.56,111.02000000000001,0.01
34,Grus americana,Whooping Crane,Birds,Endangered,Schedule 1,787680.05,0.0,0.0
35,Tympanuchus cupido,Greater Prairie–Chicken,Birds,Extirpated,Schedule 1,62362834.4,42358.929999999935,0.07
36,Ammodramus bairdii,Baird’s Sparrow,Birds,No Status,No schedule,40310022.48,22247.449999999986,0.06
37,Setophaga citrina,Hooded Warbler,Birds,Not at Risk,Schedule 1,2952451.16,3862.669999999999,0.13
38,Lanius ludovicianus excubitorides,Loggerhead Shrike Prairie subspecies,Birds,Threatened,Schedule 1,44534128.56,25239.10999999999,0.06
39,Brachyramphus marmoratus,Marbled Murrelet,Birds,Threatened,Schedule 1,14268265.2,1224.9399999999996,0.01
40,Sterna dougallii,Roseate Tern,Birds,Endangered,Schedule 1,165073.94,19.47,0.01
41,Picoides albolarvatus,White–headed Woodpecker,Birds,Endangered,Schedule 1,429039.72,1574.2100000000003,0.37
42,Icteria virens auricollis,Yellow-breasted Chat auricollis subspecies (Southern Mountain population),Birds,Endangered,Schedule 1,596708.42,1574.2100000000003,0.26
43,Synthliboramphus antiquus,Ancient Murrelet,Birds,Special Concern,Schedule 1,15733858.56,322.68999999999977,0.0
44,Tyto alba,Barn Owl (Western population),Birds,Threatened,Schedule 1,888912.66,1980.2799999999997,0.22
46,Setophaga cerulea,Cerulean Warbler,Birds,Endangered,Schedule 1,4987598.84,13834.789999999986,0.28
47,Buteo regalis,Ferruginous Hawk,Birds,Threatened,Schedule 1,20592516.01,15328.890000000012,0.07
48,Otus flammeolus,Flammulated Owl,Birds,Special Concern,Schedule 1,3583599.13,11146.529999999999,0.31
49,Passerculus sandwichensis princeps,Savannah Sparrow princeps subspecies,Birds,Special Concern,Schedule 1,3177.64,0.0,0.0
50,Pagophila eburnea,Ivory Gull,Birds,Endangered,Schedule 1,77586612.08,0.0,0.0
51,Ixobrychus exilis,Least Bittern,Birds,Threatened,Schedule 1,25138789.46,74289.79999999997,0.3
